id,program_id,segment_id,word,timecode_in,timecode_out,during_commercial,voice_onscreen
129,1,1,service,00;03;19;42,00;03;20;04,0,1
130,1,1,project,00;03;20;05,00;03;20;39,0,1
131,1,1,concieved,00;03;20;38,00;03;21;05,0,1
132,1,1,by,00;03;21;06,00;03;21;18,0,1
133,1,1,i,00;03;21;15,00;03;21;21,0,1
134,1,1,sixteen,00;03;21;22,00;03;21;56,0,1
135,1,1,boy,00;03;22;22,00;03;22;46,0,1
136,1,1,from,00;03;22;47,00;03;22;57,0,1
137,1,1,oh,00;03;22;58,00;03;23;03,0,1
138,1,1,lawn,00;03;23;09,00;03;23;35,0,1
139,1,1,became,00;03;23;36,00;03;23;55,0,1
140,1,1,reality,00;03;24;01,00;03;24;32,0,1
141,1,1,today,00;03;24;33,00;03;24;55,0,1
142,1,1,project,00;03;25;23,00;03;25;51,0,1
143,1,1,new,00;03;25;58,00;03;26;08,0,0
144,1,1,flag,00;03;26;08,00;03;26;32,0,0
145,1,1,day,00;03;41;45,00;03;42;04,0,1
146,1,1,we're,00;03;42;05,00;03;42;23,0,1
147,1,1,here,00;03;42;24,00;03;42;48,0,1
148,1,1,hear,00;03;42;24,00;03;42;48,0,1
149,1,1,what,00;03;44;53,00;03;45;17,0,1
150,1,1,justin,00;03;45;56,00;03;46;30,0,1
151,1,1,did,00;03;46;31,00;03;47;03,0,1
152,1,1,really,00;03;47;49,00;03;48;12,0,1
153,1,1,remarkable,00;03;48;13,00;03;49;01,0,1
154,1,1,is,00;03;49;53,00;03;50;10,0,1
155,1,1,increadible,00;03;50;41,00;03;51;37,0,1
156,1,1,scout,00;03;52;49,00;03;53;08,0,1
157,1,1,you,00;04;02;09,00;04;02;27,0,1
158,1,1,must,00;04;02;28,00;04;02;39,0,1
159,1,1,twenty,00;04;02;52,00;04;03;14,0,1
160,1,1,one,00;04;03;15,00;04;03;28,0,1
161,1,1,buy,00;04;03;34,00;04;03;44,0,1
162,1,1,by,00;04;03;34,00;04;03;44,0,1
163,1,1,cigarettes,00;04;03;45,00;04;04;14,0,1
164,1,1,evanston,00;04;04;24,00;04;05;13,0,1
165,1,1,new,00;04;05;14,00;04;05;22,0,1
166,1,1,city,00;04;05;23,00;04;05;41,0,1
167,1,1,ordinance,00;04;05;42,00;04;06;13,0,1
168,1,1,went,00;04;06;14,00;04;06;23,0,1
169,1,1,into,00;04;06;24,00;04;06;38,0,1
170,1,1,effect,00;04;06;40,00;04;06;58,0,1
171,1,1,affect,00;04;06;40,00;04;06;58,0,1
172,1,1,this,00;04;06;59,00;04;07;14,0,1
173,1,1,week,00;04;07;15,00;04;07;31,0,1
174,1,1,weekend,00;04;07;15,00;04;07;49,0,1
175,1,1,officials,00;04;08;11,00;04;08;35,0,1
176,1,1,official,00;04;08;11,00;04;08;32,0,1
177,1,1,say,00;04;08;33,00;04;08;47,0,1
178,1,1,the,00;04;08;48,00;04;08;56,0,1
179,1,1,plan,00;04;08;57,00;04;09;10,0,1
180,1,1,is,00;04;09;12,00;04;09;22,0,1
181,1,1,part,00;04;09;23,00;04;09;34,0,1
182,1,1,effort,00;04;09;45,00;04;10;06,0,1
